time,Voltage min,Shunt current
5.1256,,3.0
5.1296,,5.0
5.1337,,7.0
5.1377,,3.0
5.1418,,1.0
5.1458,,-6.0
5.1499,,0.0
5.1539,,-2.0
5.158,,0.0
5.162,,3.0
5.1661,,0.0
5.1701,,3.0
5.1741,,-13.0
5.1782,,-4.0
5.1822,,0.0
5.1863,,-6.0
5.1903,,-3.0
5.1944,,-4.0
5.1984,,7.0
5.2025,,-5.0
5.2065,,3.0
5.2106,,0.0
5.2146,,7.0
5.2187,,1.0
5.2227,,3.0
5.2268,,-16.0
5.2308,,6.0
5.2349,,-2.0
5.2389,,4.0
5.243,,0.0
5.247,,-9.0
5.2511,,-9.0
5.2551,,1.0
5.2592,,3.0
5.2632,,6.0
5.2673,,-3.0
5.2713,,5.0
5.2754,,2.0
5.2794,,11.0
5.2835,,-2.0
5.2875,,-10.0
5.2916,,3.0
5.2956,,-3.0
5.2997,,-19.0
5.3037,,3.0
5.3078,,4.0
5.3118,,1.0
5.3159,,9.0
5.3199,,-3.0
5.3239,,5.0
5.328,,6.0
5.332,,-6.0
5.3361,,7.0
5.3401,,1.0
5.3442,,-3.0
5.3482,,-1.0
5.3523,,5.0
5.3563,,4.0
5.3604,,-2.0
5.3644,,8.0
5.3685,,6.0
5.3725,,7.0
5.3766,,-4.0
5.3806,,-5.0
5.3847,,8.0
5.3887,,5.0
5.3928,,-6.0
5.3968,,1.0
5.4009,,-8.0
5.4049,,-3.0
5.409,,4.0
5.413,,6.0
5.4171,,-5.0
5.4211,,-1.0
5.4252,,-8.0
5.4292,,-2.0
5.4333,,1.0
5.4373,,-2.0
5.4414,,1.0
5.4454,,0.0
5.4495,,1.0
5.4535,,3.0
5.4576,,5.0
5.4616,,11.0
5.4656,,-8.0
