time,ACCU_VOLTAGE___min,SHUNT___current,SHUNT___current_counter
2.624,3.92,1.96,0.0
2.628,3.92,-5.88,0.0
2.632,3.92,0.56,0.0
2.636,3.92,-2.92,0.0
2.64,3.92,5.6,0.0
2.644,3.92,3.32,0.0
2.648,3.92,0.48,0.0
2.652,3.92,0.0,0.0
2.656,3.92,2.88,0.0
2.66,3.92,2.6,0.0
2.664,3.92,-2.08,0.0
2.668,3.92,-4.0,0.0
2.672,3.92,1.12,0.0
2.676,3.92,0.9,0.0
2.68,3.92,-0.4,0.0
2.684,3.92,-1.16,0.0
2.688,3.92,-0.88,0.0
2.692,3.92,2.16,0.0
2.696,3.92,-0.16,0.0
2.7,3.92,-4.5,0.0
2.704,3.92,-1.64,0.0
2.708,3.92,1.54,0.0
2.712,3.92,1.88,0.0
2.716,3.92,2.58,0.0
2.72,3.92,-1.2,0.0
2.724,3.92,-2.96,0.0
2.728,3.92,1.28,0.0
2.732,3.92,0.0,0.0
2.736,3.92,1.92,0.0
2.74,3.92,5.7,0.0
2.744,3.92,3.32,0.0
2.748,3.92,-0.48,0.0
2.752,3.92,0.52,0.0
2.756,3.92,0.76,0.0
2.76,3.92,7.0,0.0
2.764,3.92,4.3,0.0
2.768,3.92,-5.92,0.0
2.772,3.92,5.0,0.0
2.776,3.92,3.68,0.0
2.78,3.92,-5.3,0.0
2.784,3.92,1.56,0.0
2.788,3.92,7.64,0.0
2.792,3.92,2.16,0.0
2.796,3.92,5.92,0.0
2.8,3.92,2.0,0.0
2.804,3.92,-7.8,0.0
2.808,3.92,-4.16,0.0
2.812,3.92,2.58,0.0
2.816,3.92,7.6,0.0
2.82,3.92,-0.1,0.0
2.824,3.92,0.76,0.0
2.828,3.92,3.58,0.0
2.832,3.92,8.2,0.0
2.836,3.92,9.0,0.0
2.84,3.92,8.2,0.0
2.844,3.92,-6.04,0.0
2.848,3.92,-3.92,0.0
2.852,3.92,-1.26,0.0
2.856,3.92,-3.88,0.0
2.86,3.92,-2.9,0.0
2.864,3.92,-1.32,0.0
2.868,3.92,0.32,0.0
2.872,3.92,2.92,0.0
2.876,3.92,12.06,0.0
2.88,3.92,5.6,0.0
2.884,3.92,-0.26,0.0
2.888,3.92,1.0,0.0
